sent_to,no. PFDs,no. recipients,no. replies,no. complete responses,no. partial responses,no. overdue responses,no. pending responses
The Right Honourable Theresa May MP,1,1,0,0,0,1,0
The Riverside Group Limited ,1,1,1,1,0,0,0
The Road Surface Treatments Association,1,3,3,1,0,0,0
The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,1,2,2,1,0,0,0
The Roundwood Medical Centre,1,4,2,0,0,1,0
The Royal Albert Edward Infirmary,1,2,2,1,0,0,0
The Royal Bolton Hospital,1,3,1,0,0,1,0
The Royal Bolton Hospital NHS Foundation Trust,1,2,1,0,0,1,0
The Royal College of Emergency Medicine (‘RCEM’),1,5,0,0,0,0,1
ALLMI,1,1,1,1,0,0,0
The Unite Group plc  ,1,1,1,1,0,0,0
The University Hospitals of Derby and Burton NHS FT,1,1,1,1,0,0,0
The University of South Manchester NHS Foundation Trust,1,6,2,0,0,1,0
Toxbase,1,1,1,1,0,0,0
Tradomi S.L. Transporte,1,1,0,0,0,1,0
AGCO Ltd,1,1,0,0,0,1,0
Trafford County Council,1,2,1,0,0,0,1
Trafford Crisis Resolution and Home Treatment Team,1,2,0,0,0,1,0
"Train Services, DLR",1,3,2,0,0,1,0
Transport Focus,1,6,8,0,1,0,0
"Transport Manager, Reading Borough Council",1,1,1,1,0,0,0
Transport and Rural Affairs at Suffolk County Council,1,1,1,1,0,0,0
ADS,1,1,1,1,0,0,0
Transport for London ,1,1,1,1,0,0,0
Transport for West Midlands,1,3,1,0,0,1,0
Travel Lodge,1,1,1,1,0,0,0
Treanor Pujol Limited,1,1,0,0,0,0,1
Treasury Solicitors,1,4,0,0,0,1,0
Treatment Direct Limited,1,2,1,0,0,1,0
Trent and Dove Social Housing,1,6,3,0,1,0,0
Tricuro,1,1,1,1,0,0,0
Trinity Medical Centre,1,4,0,0,0,1,0
Tunstall Response,1,1,1,1,0,0,0
Toyota PLC,1,4,2,0,1,0,0
Townhead Surgery ,1,1,2,0,0,1,0
The Village Medical Centre,1,1,0,0,0,1,0
Tower Hamlets Social Services,1,1,1,1,0,0,0
The Wallich Centre,1,1,1,1,0,0,0
The Waterfield Practice,1,2,0,0,0,1,0
The Yacht Harbour Association Ltd,1,1,0,0,0,1,0
The York Hospital,1,2,0,0,0,1,0
The Youth Justice Board,1,4,0,0,0,1,0
Thomas Cook,1,1,1,1,0,0,0
Thornton Heath Medical Practice,1,4,0,0,0,1,0
Thornton and Ross Ltd,1,9,5,0,1,0,0
Three Sisters Care Ltd,1,3,2,0,1,0,0
Timperley Care Home,1,2,1,0,0,1,0
Tissue Viability Nurses,1,2,0,0,0,1,0
Titan Containers Limited,1,3,1,0,1,0,0
Together Housing,1,3,1,0,0,1,0
Tonic Construction Ltd,1,2,1,0,0,0,1
Torbay Council,1,5,0,0,0,1,0
Torbay Hospital,1,2,0,0,0,1,0
Torbay and South Devon Clinical Commissioning Group,1,5,0,0,0,1,0
Totally Urgent Care,1,1,2,0,0,1,0
Tower Bridge Care Home,1,3,3,1,0,0,0
Villa Adastra Care Home,1,2,1,0,0,1,0
Virgin Care Limited,1,3,3,1,0,0,0
Sheffield Teaching Hospitals NHS Foundation Trust,1,1,0,0,0,0,1
Woking Borough Council,1,3,1,0,0,1,0
Wiltshire Landscape National Trust,1,5,3,0,1,0,0
Winchmore Hill Practice,1,12,9,0,1,0,0
Windmill House Care Home,1,1,1,1,0,0,0
Windsor and Maidenhead Community Mental Health Team,1,4,0,0,0,1,0
Wirral Clinical Commissioning Group,1,3,2,0,1,0,0
Wirral University Hospital Trust,1,1,1,1,0,0,0
Wirral University Teaching Hospital,1,3,2,0,1,0,0
Wirral University Teaching Hospital NHS Foundation Trust,1,6,0,0,0,1,0
Withybush General Hospital,1,1,0,0,0,1,0
Wolverhampton University,1,5,5,1,0,0,0
Whirlpool UK,1,4,3,0,1,0,0
Wood Street Medical Centre,1,3,3,1,0,0,0
Woodlands Hospital,1,6,4,0,1,0,0
Woodlands Surgery,1,6,4,0,1,0,0
Woodley Centre Surgery,1,1,1,1,0,0,0
Woolwich Station Medical Centre,1,2,1,0,0,1,0
1. The Chief Executive of the Royal Society for the Prevention of Accidents,1,1,1,1,0,0,0
Worcestershire Acute Hospital NHS Trust ,1,1,1,1,0,0,0
Worcestershire Acute Hospital Trust,1,1,1,1,0,0,0
1. East London Foundation Trust (ELFT),1,1,1,1,0,0,0
"1. [REDACTED] , Chief Executive Officer, Barts Health NHS Foundation Trust",1,3,0,0,0,1,0
Wiltshire Constabulary,1,5,0,0,0,1,0
Wiltshire Clinical Commissioning Group,1,5,0,0,0,1,0
Wilsden Medical Practice,1,1,1,1,0,0,0
Whiston Hospital,1,1,1,1,0,0,0
White Branch Live Limited,1,3,0,0,0,1,0
White Horse Medical Practice,1,3,2,0,1,0,0
Whitefriars Housing,1,1,1,1,0,0,0
Whitelock Development,1,4,4,1,0,0,0
Whitepost healthcare Group,1,1,0,0,0,1,0
Whittington Health,1,3,3,1,0,0,0
1st Care 4U,1,3,1,0,1,0,0
Whittington Hospital,1,1,1,1,0,0,0
111 Service,1,2,2,1,0,0,0
Wibsey and Queensbury Medical Practice,1,1,0,0,0,1,0
Widnes Hall Care Home,1,2,1,0,0,1,0
Wigan Borough Clinical Commissioning Group,1,3,4,0,1,0,0
Wigan Discharge Team,1,1,0,0,0,1,0
Wigan Life Centre,1,3,3,1,0,0,0
Wigan Metropolitan Borough Council ,1,1,1,1,0,0,0
William Perkin High School,1,8,2,0,1,0,0
Williams and Spenceley Limited,1,4,3,0,1,0,0
Willow Grange Care Home ,1,1,1,1,0,0,0
Worcestershire Acute Hospitals Trust,1,2,1,0,1,0,0
1) [REDACTED] National Institute for Health and Care Excellence,1,4,4,1,0,0,0
Worcestershire NHS Trust,1,1,0,0,0,1,0
Your Health Partnership Regis Medical Centre,1,1,1,1,0,0,0
Youth Justice Board,1,4,1,0,0,1,0
Youth Justice Board for England and Wales,1,1,1,1,0,0,0
Zelltec Limited,1,1,0,0,0,1,0
Zinnia Healthcare Limited,1,1,1,1,0,0,0
"[REDACTED]
Lead Director Infrastructure Norfolk County Council
Martineau Lane
Norwich
NR1 2DH",1,1,1,1,0,0,0
"[REDACTED] CEO, NHS England",1,2,0,0,0,1,0
[REDACTED] Chief Executive of Digital Health & Care Wales,1,2,0,0,0,1,0
[REDACTED] HMP Garth,1,1,0,0,0,1,0
"[REDACTED] The Chief Executive Officer 
East London NHS Foundation Trust Trust Headquarters 
9 Alie Street 
London  
E1 8DE ",1,1,1,1,0,0,0
[REDACTED] The Secretary of State for the Department of Health and Social Care.,1,2,0,0,0,1,0
"[REDACTED], Chief Executive Officer, NHS England: [REDACTED]",1,2,1,0,0,1,0
"[REDACTED], Chief Executive of the Royal College of Midwives, [REDACTED],  Chief Executive of the Nursing and Midwifery Council, [REDACTED],  Chief Executive of the Royal College of Obstetrics, [REDACTED], Chief Executive of National Institute for Clinical Excellence, [REDACTED], Chief Executive of NHS England",1,2,5,0,0,1,0
"[REDACTED], Chief Executive, Medicines and Healthcare  Products Regulatory Agency (MHRA), 10 South Colonnade, Canary",1,2,0,0,0,1,0
"[REDACTED], Chief National Medical Examiner, National Medical Examiner’s Office, 6 Alie Street, London E1 8QT",1,2,0,0,0,1,0
"[REDACTED], Parliamentary Under-Secretary for Patient Safety, Women’s Health and Mental Health, 39 Victoria Street, London SW1H 0EU",1,2,1,0,0,1,0
"[REDACTED], President of The Royal College of Radiologists",1,3,2,0,0,1,0
"[REDACTED], Secretary of State for Health and Social Care",1,2,5,0,0,1,0
"[REDACTED], The Commissioner of Police of the Metropolis",1,1,0,0,0,1,0
"and 
4) [REDACTED], Leyden Delta Ltd.",1,4,4,1,0,0,0
Your Housing,1,1,0,0,0,0,1
Your Health Limited,1,1,1,1,0,0,0
Worcestershire Safeguarding Children’s Board,1,1,1,1,0,0,0
Youngman,1,3,0,0,0,0,1
Workforce and Corporate Business,1,2,1,0,1,0,0
Worthing Homes,1,3,0,0,0,1,0
Wrexham County Council,1,2,2,1,0,0,0
Wrightington Wigan,1,5,3,0,1,0,0
"Wrightington, Wigan and Leigh NHS Trust",1,2,2,1,0,0,0
"Wrightington, Wigan and Leigh Teaching Hospitals NHS Foundation Trust",1,3,1,0,0,1,0
Wychall Lane Surgery,1,3,3,1,0,0,0
YAS Legal,1,2,0,0,0,1,0
YOI Doncaster,1,2,2,1,0,0,0
Yeovil District Hospital,1,4,1,0,0,1,0
Ynys Mon County Council,1,1,1,1,0,0,0
York & Scarborough NHS Trust ,1,1,1,1,0,0,0
York House Surgery,1,4,1,0,0,1,0
York Road Pharmacy,1,2,2,1,0,0,0
1) NHS England 2) East Cheshire NHS Trust,1,1,2,0,0,1,0
Yorkshire Ambulance Service NHS Foundation Trust,1,2,0,0,0,1,0
Yorkshire Ambulance Service NHS trust ,1,1,1,1,0,0,0
Yorkshire Care Equipment,1,3,1,0,0,1,0
Yorkshire Water PLC,1,4,1,0,0,1,0
Whirlpool UK Appliances,1,1,1,1,0,0,0
Whirlpool (UK) Appliances,1,1,1,1,0,0,0
Virgin Care Services Limited,1,1,0,0,0,0,1
Waveney River Centre,1,1,1,1,0,0,0
Ward Bros (Malton) Ltd ,1,1,1,1,0,0,0
Warrington Hospital,1,1,1,1,0,0,0
Warwick Medical School,1,2,2,1,0,0,0
Warwickshire City Council,1,1,0,0,0,1,0
999 Liaison Committee,1,3,1,0,0,1,0
Waste Industry Safety & Health Forum,1,1,1,1,0,0,0
Waterloo Manor Hospital,1,2,1,0,0,1,0
Waterside Medical Centre,1,2,2,1,0,0,0
Waveney Clinical Commissioning Group,1,2,1,0,1,0,0
Waxham House Residential Care Home,1,3,0,0,0,1,0
Whipps Cross Hospital,1,1,1,1,0,0,0
Wayland Farms Limited,1,1,1,1,0,0,0
We Are With You charity,1,4,3,0,1,0,0
Weightmans LLP,1,2,1,0,1,0,0
Weightmans’s Solicitors,1,3,1,0,1,0,0
Wells Pharmacy,1,3,2,0,1,0,0
Wells Road Surgery,1,1,1,1,0,0,0
Wellsky,1,3,1,0,0,1,0
"5 Boroughs Partnership NHS Foundation Trust, Warrington",1,2,2,1,0,0,0
5 Boroughs Partnership,1,1,1,1,0,0,0
Wanstead Place Surgery,1,1,0,0,0,1,0
"Wandsworth, Merton, Richmond and Sutton Borough Council",1,2,1,0,0,0,1
Wandsworth Consortium Drug and Alcohol Services,1,1,0,0,0,1,0
Walsall and Dudley Mental Health NHS Trust,1,2,1,0,0,1,0
Vision and Cegedim,1,5,6,0,1,0,0
Vita health Group : Kent and Medway Talking Therapies,1,2,0,0,0,1,0
Volvo Car Corporation,1,8,0,0,0,1,0
Volvo Group (UK) Limited,1,1,1,1,0,0,0
W E Rawson Ltd,1,1,1,1,0,0,0
W M Morrisons PLC,1,1,1,1,0,0,0
WELSH ASSEMBLY GOVERNMENT,1,3,3,1,0,0,0
WIGAN INTERGRATED CARE BOARD,1,3,2,0,0,1,0
WISH,1,2,1,0,0,1,0
Wakefield Council,1,4,3,0,1,0,0
Wakefield District Safeguarding Adults Board,1,1,0,0,0,1,0
A&B Healthcare Ltd,1,3,2,0,1,0,0
Wales and West Utilities,1,4,0,0,0,1,0
Wales prevention of future deaths reports (2019 onwards),1,2,1,0,0,1,0
A ONE+,1,3,1,0,0,1,0
Walsall Manor Hospital Trust,1,1,1,1,0,0,0
Walsall Mental Health Partnership,1,2,1,0,0,1,0
Walsall Metropolitan Borough,1,2,1,0,0,1,0
Walsall Metropolitan Borough Council,1,2,1,0,0,1,0
5 Boroughs NHS  Foundation Trust,1,1,1,1,0,0,0
Welsh Ambulance Services NHS Trust.,1,5,1,0,0,1,0
Welsh Ambulance Services University NHS Trust ,1,1,1,1,0,0,0
West Suffolk Hospitals,1,1,1,1,0,0,0
West Sussex County Council ,1,1,1,1,0,0,0
West Sussex County Social Services,1,2,1,0,1,0,0
West Timperley Medical Centre,1,1,1,1,0,0,0
West Wales General Hospital Glangwili Carmarthen,1,1,1,1,0,0,0
West Yorkshire Integrated Care Board  ,1,1,1,1,0,0,0
2) [REDACTED] Viatris UK Healthcare Ltd,1,4,4,1,0,0,0
West Yorkshire Police Force,1,1,1,1,0,0,0
West Yorkshire Police ,1,1,1,1,0,0,0
West Yorkshire and Harrogate Integrated Stroke Delivery Network,1,6,0,0,0,1,0
West of England Combined Authority,1,3,3,1,0,0,0
1st For Health International,1,3,1,0,0,1,0
Western Sussex Hospitals,1,5,4,0,1,0,0
Westlands Care Home,1,1,1,1,0,0,0
Westminster City Council,1,18,5,0,1,0,0
Weston NHS Foundation Trust,1,2,1,1,0,0,0
Westwood Hall Nursing Home,1,1,1,1,0,0,0
Westwood Homecare Limited,1,1,0,0,0,1,0
Wexham Park Hospital,1,2,0,0,0,1,0
Weymouth Street Hospital,1,1,1,1,0,0,0
West Suffolk NHS Foundation Trust ,1,1,0,0,0,0,1
West Quay Surgery,1,2,2,1,0,0,0
Welsh Government Health and Social Care,1,2,1,0,0,1,0
West Park Hospital,1,2,2,1,0,0,0
Welsh Government Office,1,2,2,1,0,0,0
Welsh Government ,1,1,1,1,0,0,0
Welsh Health Minister,1,3,0,0,0,1,0
Welsh Parliament ,1,1,1,1,0,0,0
Wessex Water Services Limited,1,2,2,1,0,0,0
West Berkshire Highways Authority,1,1,1,1,0,0,0
West Cheshire Clinical Commissioning Group,1,3,4,0,0,1,0
West End Garage,1,8,2,0,0,1,0
West London Alliance,1,5,0,0,0,1,0
West London Care Commissioning Group,1,2,1,0,0,0,1
49 Marine Avenue Surgery,1,5,5,1,0,0,0
West Mercia Constabulary,1,1,1,1,0,0,0
"3D Trans, Health and Safety Executive",1,1,2,0,0,1,0
West Midlands Ambulance Trust,1,1,0,0,0,1,0
West Midlands Combined Authority,1,3,3,1,0,0,0
West Midlands Fire Service,1,3,1,0,0,1,0
West Midlands Fire Service ,1,1,1,1,0,0,0
"3) [REDACTED], Britannia Pharmaceutical Ltd",1,4,4,1,0,0,0
West Midlands Police ,1,1,1,1,0,0,0
The Quality Care Commission,1,4,3,0,1,0,0
The Professional Association of Diving Instructors,1,1,1,1,0,0,0
"The Priory Hospital, Cheadle",1,2,0,0,0,1,0
Aden Nursing Home,1,1,1,1,0,0,0
Adferiad Recovery,1,2,2,1,0,0,0
St Peter’s and Ashford Hospitals,1,3,0,0,0,1,0
St Richards Hospital,1,5,6,0,1,0,0
St Richard’s Hospital,1,2,1,0,0,1,0
St Thomas Hospital,1,1,1,1,0,0,0
St Thomas NHS Foundation Trust,1,1,1,1,0,0,0
Stafford Hospital,1,1,0,0,0,1,0
Stafford and Surrounds Clinical Commissioning Group,1,2,1,0,0,1,0
Staffordshire Clinical Commissioning Group,1,1,1,1,0,0,0
Staffordshire County Council ,1,1,1,1,0,0,0
Springfield House Care Home,1,3,0,0,0,1,0
Staffordshire Highways ,1,1,0,0,0,1,0
Staffordshire Moorlands District Council ,1,1,1,1,0,0,0
Stamford Quarter Shopping Centre,1,1,0,0,0,1,0
Stanley Park Care Centre,1,1,1,1,0,0,0
Steadplan Ltd,1,4,1,0,0,1,0
Adelaide Medical Centre,1,3,3,1,0,0,0
Steps2Recovery,1,2,2,1,0,0,0
Stewarts Law,1,4,3,0,1,0,0
StockXS Limited,1,3,1,0,0,1,0
St Mungo’s ,1,1,1,1,0,0,0
St Mary’s Nursing Home,1,4,0,0,0,1,0
St Mary’s Hospital Warrington,1,1,0,0,0,1,0
St Mary’s Hospital NHS Trust,1,1,0,0,0,1,0
Springhill Prison,1,1,1,1,0,0,0
Square Sail,1,1,0,0,0,0,1
St Andrew’s Surgery Hull,1,6,6,1,0,0,0
St Armands Court Residential Care Home,1,5,0,0,0,1,0
St Chads Medical Practice,1,4,1,0,0,0,1
St Charles Hospital,1,2,2,1,0,0,0
St Edward’s School,1,1,0,0,0,1,0
St George’s Epsom and St Helier Group,1,2,2,1,0,0,0
Adult Safeguarding Kent County Council,1,2,0,0,0,1,0
St George’s University Hospitals,1,1,0,0,0,1,0
Adullam Homes Housing Association,1,1,0,0,0,1,0
St Giles Care Home,1,2,1,0,0,0,1
St Giles Nursing Home,1,1,1,1,0,0,0
St Helens Clinical Commissioning Group,1,2,1,0,0,0,1
St John's Nursing Home,1,2,2,1,0,0,0
"St John’s College, Oxford University",1,1,1,1,0,0,0
Newark and Sherwood Clinical Commissioning Group,1,7,2,0,1,0,0
St Marien Hospital Trust,1,1,0,0,0,1,0
St Mary’s Health Centre,1,3,2,0,0,0,1
Addison House Surgery,1,1,1,1,0,0,0
Stockport Council,1,1,1,1,0,0,0
Stockport Homes,1,2,2,1,0,0,0
Sunrise Medical Limited,1,1,1,1,0,0,0
Supreme Care Services Limited,1,2,2,1,0,0,0
"Surface Transport, Transport for London",1,3,1,0,0,1,0
Surrey Community Health,1,2,1,0,0,1,0
Surrey Constabulary,1,2,2,1,0,0,0
Adbolton Hall Nursing Home,1,1,1,1,0,0,0
Surrey Local Highways Services Group Manager,1,1,1,1,0,0,0
Adams Pharmacy,1,1,0,0,0,1,0
Surrey and Borders NHS Partnership Trust,1,4,4,1,0,0,0
"Acute Mental Health Services, West London NHS Trust",1,1,0,0,0,1,0
Acorn Lodge Care Home,1,1,0,0,0,1,0
Suspension Bridge Trustees,1,1,1,1,0,0,0
"Sussex Community Dermatology Service 
British Society of Dermatological Surgery",1,1,2,0,0,1,0
Sussex Community NHS Trust,1,2,2,1,0,0,0
Sussex ICB ,1,1,1,1,0,0,0
Acis Housing,1,1,1,1,0,0,0
Sussex Partnership Foundation Trust ,1,1,1,1,0,0,0
Acer Mews Care Home,1,2,0,0,0,1,0
"Sustainable Improvement Team, NHS England",1,4,0,0,0,1,0
Sustrans,1,1,1,1,0,0,0
Supported Independence Limited,1,3,0,0,0,1,0
Sunrise Care Home,1,1,0,0,0,1,0
Stockport Integrated Care Partnership,1,1,1,1,0,0,0
Sunnyside Nursing Home,1,2,2,1,0,0,0
Addcounsel,1,1,1,1,0,0,0
Stockton Care Limited,1,1,1,1,0,0,0
Stockton Council,1,7,7,1,0,0,0
Stockton NHS Foundation Trust,1,1,0,0,0,1,0
Stoke Mandeville Hospital,1,4,3,0,1,0,0
Stoke Talking Therapies,1,3,2,0,0,1,0
Stoke-on-Trent City Council,1,1,1,1,0,0,0
Stone Federation of GB,1,2,0,0,0,0,1
Stonefield Street Surgery,1,1,1,1,0,0,0
Stoneham Bass,1,1,1,1,0,0,0
Stretton Medical Centre,1,1,0,0,0,1,0
Stryker (UK) Ltd,1,2,2,1,0,0,0
Student Roost,1,2,2,1,0,0,0
Sub Aqua Association Spcae Solutions Business Centre,1,2,1,0,1,0,0
SubCPartner,1,1,2,0,0,1,0
Suffolk Constabulary Police Headquarters,1,6,6,1,0,0,0
Suffolk Safeguarding Partnership,1,2,2,1,0,0,0
Sunderland Royal Hospital,1,3,2,0,1,0,0
Sundon Medical Centre,1,2,0,0,0,0,1
Springfield Medical Practice,1,1,1,1,0,0,0
Springfield Hospital,1,3,0,0,0,1,0
The Priory Group Ltd,1,1,1,1,0,0,0
Solihull Mental Health Trust,1,4,2,0,1,0,0
SoS for DCMS,1,2,2,1,0,0,0
Affinity Healthcare Ltd,1,6,1,0,0,1,0
SoS of Health and Social Care,1,3,3,1,0,0,0
Social Care Partnership Trust,1,2,0,0,0,0,1
Social Services Truro Cornwall,1,3,3,1,0,0,0
Social Work England,1,4,4,1,0,0,0
Society for Cardiothoracic Surgery,1,4,1,0,1,0,0
Society of Motor Manufacturers and Traders,1,3,0,0,0,0,1
Soilmec Limited,1,3,1,0,0,1,0
Somerset NHS Foundation Trust (Musgrove Park Hospital Trust),1,2,2,1,0,0,0
Springfield Health Care Services,1,2,1,0,0,1,0
Somerset NHS Trust,1,2,0,0,0,1,0
Advocacy Together,1,4,0,0,0,1,0
Advisory Council on the Misuse of Drugs,1,2,2,1,0,0,0
South East Coast Ambulance Service NHS Foundation Trust,1,2,2,1,0,0,0
South East England Fire and Rescue Service,1,2,0,0,0,1,0
South Eastern Railways,1,2,1,0,0,1,0
South Essex NHS Partnership,1,1,1,1,0,0,0
South Essex Partnership Trust,1,4,3,0,0,0,1
South Essex Partnership University NHS Foundation Trust,1,1,1,1,0,0,0
Snowdonia National Park Authority,1,1,1,1,0,0,0
Snap Inc,1,5,5,1,0,0,0
Snap Group Limited,1,7,2,0,1,0,0
Slough Pharmacy,1,8,9,0,1,0,0
Sheffield Trust,1,1,0,0,0,1,0
Sheffield Wednesday Football Club,1,1,1,1,0,0,0
Shepherds Bush Medical Centre,1,2,0,0,0,1,0
Sheridan Teal House,1,1,0,0,0,1,0
Sherwood Forest Hospital Trust,1,1,2,0,0,0,1
Sherwood Forest Hospitals,1,5,2,0,1,0,0
Agrade Community Care Services,1,1,0,0,0,1,0
Shimano Inc,1,2,0,0,0,1,0
Shindig Events Limited,1,2,0,0,0,1,0
Shire Lodge Nursing Home,1,1,0,0,0,1,0
Affinity Water,1,4,4,1,0,0,0
Shropshire Council,1,2,2,1,0,0,0
Shropshire Safeguarding Partnership,1,2,1,0,0,0,1
Sibelco UK Ltd,1,4,0,0,0,1,0
Silver Birches Care Home,1,1,1,1,0,0,0
Skills for Care,1,3,3,1,0,0,0
Skillsforcare,1,3,0,0,0,0,1
Slough Borough Council,1,1,1,1,0,0,0
Slough Borough Council Highways Department,1,1,0,1,0,0,0
South Kesteven District Council,1,1,0,0,0,1,0
South London Islamic Centre,1,2,1,0,1,0,0
South Molton Community Hospital,1,3,2,0,0,1,0
South Yorkshire West NHS Foundation Trust,1,2,1,0,0,1,0
Southern Health NHS Foundation Trust of Tatchbury Mount,1,3,0,0,0,1,0
Southmead Hospital,1,1,1,1,0,0,0
Southmead Hospital ,1,1,1,1,0,0,0
Southwark Council,1,18,5,0,1,0,0
Spaces and Places Limited,1,3,1,0,0,1,0
"Speaker’s Counsel, for the attention of the Parliamentary Authorities at the Palace of Westminster",1,8,7,0,1,0,0
Specsavers UK,1,1,1,1,0,0,0
Spectrum Community Health,1,3,0,0,0,1,0
Sphere Risk Health & Safety Management Ltd,1,6,2,0,0,1,0
Spider Project Café 71,1,3,4,0,0,1,0
Spire,1,3,3,1,0,0,0
Spire Bristol Hospital,1,1,2,1,0,0,0
Spire Harpenden Hospital,1,1,2,1,0,0,0
Spire Healthcare Limited,1,1,1,1,0,0,0
Spire Hospital,1,1,0,0,0,1,0
Sports Camp Tirol,1,1,1,1,0,0,0
Springbank Care Home Limited,1,1,1,1,0,0,0
Springcare Care Homes Ltd,1,2,1,0,1,0,0
Springfield Care Home,1,1,0,0,0,1,0
Southend Hospital,1,1,0,0,0,1,0
South Yorkshire Police ,1,1,1,1,0,0,0
South Molton Health Care Centre,1,3,2,0,0,1,0
South Yorkshire Police HQ,1,1,1,1,0,0,0
Advinia Healthcare Ltd,1,2,1,0,0,1,0
South Tees Hospitals NHS Foundation Trust,1,1,1,1,0,0,0
South Tees Hospitals NHS Foundation Trust ,1,1,1,1,0,0,0
South Tees NHS Trust,1,1,0,0,0,1,0
South Tyneside and Sunderland NHS Trust,1,2,2,1,0,0,0
South Wales Fire and Rescue Service,1,1,1,1,0,0,0
Advanced Health & Care Ltd,1,12,9,0,1,0,0
South Warwickshire University NHS Foundation Trust,1,4,4,1,0,0,0
South West Ambulance Service,1,1,1,1,0,0,0
Adult and Community Services Suffolk County Council,1,2,0,0,0,1,0
South West National Trust,1,1,1,1,0,0,0
South West Regional Midwife,1,5,4,0,1,0,0
South West Trains,1,1,0,0,0,1,0
South West Yorkshire Partnership,1,1,1,1,0,0,0
South West Yorkshire Partnership Trust,1,1,1,1,0,0,0
South Western Ambulance NHS Foundation Trust,1,2,2,1,0,0,0
South Western Ambulance Service NHS Foundation Trust,1,2,2,1,0,0,0
South Western Ambulance Trust,1,4,5,0,1,0,0
South Western Railways,1,3,2,0,1,0,0
Sutton Local Safeguarding Children’s Board,1,7,0,0,0,1,0
Sutton and East Surrey Water Plc,1,4,0,0,0,1,0
Sutton and Merton Community Services,1,7,0,0,0,1,0
"The Health and Safety Executive, Head of Health and Social Care Services",1,4,3,0,1,0,0
The Gambling Commission,1,4,0,0,0,1,0
The General Dental Council,1,1,1,1,0,0,0
The General Optical Council,1,4,3,0,1,0,0
The Glass and Glazing Federation,1,1,0,0,0,1,0
The Governor HMP Stocken,1,3,0,0,0,1,0
The Governor of HM Prison Parc ,1,1,0,0,0,0,1
"The Governor, HMP Berwyn",1,2,0,0,0,1,0
The Grange Care Centre,1,1,1,1,0,0,0
The Grove Medical Centre,1,3,2,0,0,1,0
The Heathers Nursing Home,1,1,1,1,0,0,0
Swanage Medical Practice,1,1,1,1,0,0,0
AR1 Homecare Limited,1,1,1,1,0,0,0
APEX Nursing Agency,1,7,3,0,0,1,0
The Home Office ,1,1,1,1,0,0,0
The Hub,1,2,1,0,0,1,0
The Institution of Fire Engineers,1,12,5,0,1,0,0
The Integrated Care Board (ICB) for North-East London,1,4,2,0,0,1,0
The Intensive Care Society,1,1,0,0,0,1,0
The International Powered Access Federation,1,6,7,0,1,0,0
The Isle of Wight Clinical Commissioning Group,1,2,2,1,0,0,0
The Freight Transport Association Ltd,1,4,1,0,0,1,0
The Forward Trust,1,3,0,0,0,1,0
The Forest of Marston Vale Trust,1,1,1,1,0,0,0
The Foreign Secretary,1,1,1,1,0,0,0
The City of Westminster,1,4,1,0,1,0,0
The Cotswold Hunt,1,2,1,0,0,1,0
The Council of Hunting,1,2,1,0,0,1,0
The County Surveyor,1,3,0,0,0,1,0
The Crescent Surgery,1,2,0,0,0,0,1
The Crossing Project,1,1,0,0,0,1,0
The Crown Premises Fire & Safety Inspectorate,1,3,0,0,0,1,0
The Dalmeny Hotal,1,1,1,1,0,0,0
The Difficult Airway Society,1,4,3,0,1,0,0
The Dog Legislation Office,1,2,1,0,0,1,0
The Driver Vehicle Standards Agency,1,2,2,1,0,0,0
The Duchy of Cornwall,1,1,1,1,0,0,0
ASHTON MEDICAL PRACTICE,1,3,2,0,0,1,0
The Dudley NHS Trust,1,1,1,1,0,0,0
The Enterprise Practice,1,4,2,0,1,0,0
The European Automobile Manufacturers’ Association,1,8,0,0,0,1,0
The Evergreen Surgery,1,4,2,0,0,1,0
The Federation of Tour Operators,1,5,1,0,0,1,0
The First Minister of Wales,1,1,1,1,0,0,0
The Italian Embassy,1,1,0,0,0,1,0
The Ivy Grove Surgery,1,2,0,0,0,1,0
The Jackloc Company Ltd,1,3,2,0,1,0,0
"The National Food Crime Unit, Food Standard Agency",1,2,2,1,0,0,0
The Nerams Group ,1,1,1,1,0,0,0
The North Shore Surgery,1,2,1,0,0,1,0
The Nursing Midwifery Council,1,5,3,0,0,0,1
The Oaks and Woodcroft Care Home,1,1,1,1,0,0,0
The Office of the Rail Regulator,1,4,0,0,0,1,0
The Park Surgery,1,1,1,1,0,0,0
The Peligoni Club,1,1,0,0,0,1,0
The Pembroke Medical Practice,1,4,4,1,0,0,0
The Pennine Acute Trust,1,1,1,1,0,0,0
The Petroleum Enforcement Liaison Group,1,4,2,0,1,0,0
The Pipeline Industries Guild,1,2,2,1,0,0,0
The Portland Hospital,1,1,1,1,0,0,0
The Practice,1,1,0,0,0,1,0
The Practice Plc,1,5,1,0,1,0,0
The President of the British Society of Gastroenterology,1,1,0,0,0,1,0
The Princess Alexandra Hospital NHS Trust,1,1,1,1,0,0,0
The Princess Royal Hospital,1,3,1,0,0,1,0
The Priority Group,1,2,1,0,1,0,0
AMEY,1,1,0,0,0,1,0
AMHP,1,6,5,0,1,0,0
The National Fire Chiefs Council,1,1,0,0,0,1,0
The Jewish Free School,1,1,1,1,0,0,0
The National Farmers Union,1,6,4,0,1,0,0
The Lawn Medical,1,3,0,0,0,1,0
The Lawson Practice,1,2,1,0,0,1,0
